Value,Gender,Age group,3,10,50,90,97
1st quartile,0,[50-60),62.5820789,67.71393553,83.77643705,99.83893857,104.9707952
1st quartile,0,[60-70],64.28138743,69.41070508,85.46525969,101.5198143,106.6491319
1st quartile,1,[40-50),60.86193045,66.59999164,84.56137554,102.5226124,108.2607902
1st quartile,1,[50-60),62.08491541,67.82502565,85.78952813,103.7540306,109.4941409
1st quartile,1,[60-70],63.0233152,68.76252106,86.72419315,104.6858652,110.4250711
Median,2,[40-50),66.56726373,72.18960939,89.79165504,107.3944107,113.0169725
Median,2,[50-60),68.45690206,74.07902482,91.68037263,109.2817683,114.903891
Median,2,[60-70],69.98543593,75.60829928,93.21196567,110.8156321,116.4384954
Median,0,[40-50),66.42360164,71.75159228,88.42876504,105.1059678,110.4339078
Median,0,[50-60),68.51176268,73.84245865,90.52731916,107.2121797,112.5428756
Median,0,[60-70],70.43825088,75.76630949,92.44291518,109.1195209,114.4475795
Median,1,[40-50),66.99182971,72.89958937,91.38947615,109.8798522,115.7871065
Median,1,[50-60),68.50402645,74.41336312,92.90748412,111.4016051,117.3109418
Median,1,[60-70],70.0687863,75.97719192,94.46839909,112.9596062,118.8680119
Mean,2,[40-50),68.58433274,74.37327361,92.49722455,110.6213203,116.4102608
Mean,2,[50-60),70.60475843,76.3934692,94.51635905,112.6393951,118.4281595
Mean,2,[60-70],72.5311213,78.32058875,96.44584759,114.5711064,120.3605739
Mean,0,[40-50),68.42056865,73.90866911,91.08553415,108.2624414,113.750455
Mean,0,[50-60),70.86769508,76.35811942,93.54292322,110.727727,116.2181514
Mean,0,[60-70],73.04918371,78.53689167,95.71319329,112.8894949,118.3772029
Mean,1,[40-50),68.81025281,74.90436412,93.97415609,113.0446345,119.1384096
Mean,1,[50-60),70.37092003,76.46591385,95.54107568,114.6162375,120.7112313
Mean,1,[60-70],72.43644413,78.53047766,97.6026341,116.6747905,122.7688241
3rd quartile,2,[40-50),73.43089355,79.71095793,99.37214325,119.0341677,125.3142317
3rd quartile,2,[50-60),75.71880655,81.99862461,101.6590387,121.3195427,127.5994437
3rd quartile,2,[60-70],78.09556505,84.37619969,104.0391703,123.7021409,129.9827755
3rd quartile,0,[40-50),73.14841719,79.1082985,97.76209321,116.4159376,122.3754804
3rd quartile,0,[50-60),75.94705025,81.90940886,100.5713476,119.2332864,125.195645
3rd quartile,0,[60-70],78.39676726,84.356176,103.0088818,121.6615875,127.6209963
3rd quartile,1,[40-50),73.82277629,80.40953129,101.0229099,121.6352125,128.2222874
3rd quartile,1,[50-60),75.5928074,82.18097554,102.7995975,123.4182194,130.0063875
3rd quartile,1,[60-70],78.46163904,85.04876918,105.6641426,126.2795159,132.8666461
Max,2,[40-50),103.9470093,117.0522075,158.0820382,199.1108848,212.2170567
Max,2,[50-60),108.2867384,121.3916582,162.4196221,203.4473089,216.5519325
Max,2,[60-70],114.3722816,127.4786152,168.5110058,209.5433964,222.64973
Max,0,[40-50),103.5778358,116.5748562,157.2549987,197.9351413,210.9321616
Max,0,[50-60),108.5305182,121.5291177,162.2148001,202.8991667,215.8974896
Max,0,[60-70],114.1402844,127.13681,167.8154038,208.4939976,221.4905232
Max,1,[40-50),103.7312648,117.0027804,158.5406442,200.074572,213.3454407
